StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
TEQUILA Taco Shop,TEQUILA 512 Reposado,Bottle (750 ML),1.3,,,,
TEQUILA Taco Shop,TEQUILA Astral Blanco,Bottle (750 ML),15.7,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Anejo,Bottle (750 ML),1.9,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Blanco,Bottle (750 ML),1.3,,,,
TEQUILA Taco Shop,TEQUILA Casa Dragones Reposado,Bottle (750 ML),1.8,,,,
TEQUILA Taco Shop,TEQUILA Casamigos Anejo,Bottle (1 Litre),2.2,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Blanco,Bottle (1 Litre),2.6,Bottle - 750 ML,0,Bottle (1 Litre),0
TEQUILA Taco Shop,TEQUILA Casamigos Cristalino,Bottle (1 Litre),1,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Mezcal Joven 80,Bottle (1 Litre),0.5,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Casamigos Reposado,Bottle (750 ML),0,Bottle (1 Litre),1.2,,
TEQUILA Taco Shop,TEQUILA Cincoro Teq Reposado,Bottle (750 ML),1.6,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Anejo,Bottle (750 ML),1.2,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Plata,Bottle (750 ML),2.7,,,,
TEQUILA Taco Shop,TEQUILA Clase Azul Reposado,Bottle (750 ML),1.4,,,,
TEQUILA Taco Shop,TEQUILA Dahlia Cristalino,Bottle (750 ML),0.8,,,,
TEQUILA Taco Shop,TEQUILA Don Julio 1942,Bottle (750 ML),2.2,Bottle (1.75 Litre),0,,
TEQUILA Taco Shop,TEQUILA Don Julio 70,Bottle (750 ML),1.5,,,,
TEQUILA Taco Shop,TEQUILA Don Julio Anejo,Bottle (750 ML),3.1,,,,
TEQUILA Taco Shop,TEQUILA Don Julio Blanco,Bottle (750 ML),1.7,Bottle (375 mL),0,,
TEQUILA Taco Shop,TEQUILA Don Julio Reposado,Bottle (750 ML),2.2,,,,
TEQUILA Taco Shop,TEQUILA El Mayor Anejo,Bottle (750 ML),1,,,,
TEQUILA Taco Shop,TEQUILA El Mayor Silver,Bottle (750 ML),1,,,,
TEQUILA Taco Shop,TEQUILA Espolon Anejo,Bottle (750 ML),0,Bottle (1 Litre),1.8,,
TEQUILA Taco Shop,TEQUILA Espolon Rep,Bottle (750 ML),0,Bottle (1 Litre),1.1,,
TEQUILA Taco Shop,TEQUILA Espolon Silver,Bottle (750 ML),0,Bottle (1 Litre),0.7,,
TEQUILA Taco Shop,TEQUILA Herradura Anejo,Bottle (750 ML),4.7,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Herradura Reposado,Bottle (1 Litre),4.5,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Herradura Sel Suprema,Bottle (750 ML),0.8,,,,
TEQUILA Taco Shop,TEQUILA Herradura Silver,Bottle (1 Litre),1.9,Bottle (750 ML),0,Bottle (1.75 Litre),0
TEQUILA Taco Shop,TEQUILA Herradura Ultra Anejo,Bottle (750 ML),8.7,,,,
TEQUILA Taco Shop,TEQUILA House,Bottle (1 Litre),30.4,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Jimador Anejo,Bottle (750 ML),3.4,,,,
TEQUILA Taco Shop,TEQUILA Jimador Reposado,Bottle (1 Litre),1.5,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Jimador Silver,Bottle (1 Litre),1,Bottle (750 ML),0,Bottle (1.75 Litre),0
TEQUILA Taco Shop,TEQUILA Jose Cuervo Reserva Familia Extra Anejo,Bottle (750 ML),1.3,,,,
TEQUILA Taco Shop,TEQUILA Komos Rep Rosa,Bottle (750 ML),1.2,,,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Joven,Bottle (750 ML),0.3,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Mezcal Artesanal,Bottle (750 ML),1.9,,,,
TEQUILA Taco Shop,TEQUILA Lobos 1707 Reposado,Bottle (750 ML),2,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Maestro Dobel Diamante,Bottle (750 ML),1.3,,,,
TEQUILA Taco Shop,TEQUILA Maestro Dobel Silver,Bottle (750 ML),1.2,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Akul Cirial,Bottle (750 ML),1,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Akul Espadin Joven,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Amaras Cupreata,Bottle (750 ML),0.9,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Anejo Ilegal,Bottle (1 Litre),0,Bottle (750 ML),2.8,,
TEQUILA Taco Shop,TEQUILA Mezcal Del Maguey Pechuga,Bottle (750 ML),1,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Del Maguey Vida,Bottle (750 ML),1.7,,,,
TEQUILA Taco Shop,TEQUILA Mezcal El Silencio,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Joven Ilegal,Bottle (1 Litre),0.3,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Montelobos Joven,Bottle (750 ML),1.1,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Ojo de Tigre,Bottle (750 ML),0.1,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Reposado Ilegal,Bottle (1 Litre),1.8,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Mezcal Sacrum Ensamble,Bottle (750 ML),1.8,,,,
TEQUILA Taco Shop,TEQUILA Mezcal Union Joven,Bottle (750 ML),1.2,,,,
TEQUILA Taco Shop,TEQUILA Milagro Anejo,Bottle (1 Litre),0,Bottle (750 ML),1.5,,
TEQUILA Taco Shop,TEQUILA Milagro Reposado,Bottle (750 ML),2.05,,,,
TEQUILA Taco Shop,TEQUILA Milagro Silver,Bottle (1 Litre),7.2,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Ocho Anejo,Bottle (750 ML),1.1,,,,
TEQUILA Taco Shop,TEQUILA Ocho Plata,Bottle (750 ML),0.9,,,,
TEQUILA Taco Shop,TEQUILA Ocho Reposado,Bottle (750 ML),1.5,,,,
TEQUILA Taco Shop,TEQUILA Patron Anejo,Bottle (750 ML),2.8,,,,
TEQUILA Taco Shop,TEQUILA Patron Reposado,Bottle (750 ML),1.1,,,,
TEQUILA Taco Shop,TEQUILA Patron Silver,Bottle (750 ML),2.9,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Anejo,Bottle (750 ML),0,Bottle (700 mL),1.5,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Reposado,Bottle (750 ML),0,Bottle (1 Litre),0.7,,
TEQUILA Taco Shop,TEQUILA Siete Leguas Silver,Bottle (750 ML),0,Bottle (1 Litre),0.7,,
TEQUILA Taco Shop,TEQUILA Sotol Por Siempre,Bottle (750 ML),1.6,,,,
TEQUILA Taco Shop,TEQUILA Teremana Anejo,Bottle (1 Litre),1.7,,,,
TEQUILA Taco Shop,TEQUILA Teremana Blanco,Bottle (1 Litre),0.4,,,,
TEQUILA Taco Shop,TEQUILA Teremana Reposado,Bottle (1 Litre),0.9,,,,
TEQUILA Taco Shop,TEQUILA Tromba Anejo,Bottle (750 ML),1.3,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Tromba Blanco,Bottle (750 ML),0.1,Bottle (1 Litre),1,,
TEQUILA Taco Shop,TEQUILA Tromba Rep,Bottle (750 ML),1.4,Bottle (1 Litre),0,,
TEQUILA Taco Shop,TEQUILA Volcan Tierra Blanco,Bottle (750 ML),2.8,,,,
TEQUILA Taco Shop,TEQUILA Milagro Silver,Bottle (1 Litre),0,Bottle (750 ML),0,,
TEQUILA Taco Shop,TEQUILA Gran Coramino Cristalino Reposado,Bottle (750 ML),2,,,,
TEQUILA Taco Shop,TEQUILA Gran Coramino Cristalino Reposado,Bottle (750 ML),0,,,,
TEQUILA Taco Shop,TEQUILA Gran Coramino Reposado,Bottle (750 ML),2,,,,
VODKA Taco Shop,VODKA Absolut,Bottle (1 Litre),0.7,,,,
VODKA Taco Shop,VODKA Albani,Bottle (1 Litre),1,,,,
VODKA Taco Shop,VODKA Belvedere,Bottle (1 Litre),1.8,,,,
VODKA Taco Shop,VODKA Grey Goose,Bottle (1 Litre),1.1,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Harry Blus,Bottle (750 ML),6.9,,,,
VODKA Taco Shop,VODKA House,Bottle (750 ML),0.8,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Ketel One,Bottle (1 Litre),1.7,Bottle (1.75 Litre),0,Bottle (750 ML),0
VODKA Taco Shop,VODKA Ketel One Citroen,Bottle (1 Litre),1.05,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Organika Vodka,Bottle (1 Litre),10,Bottle (750 ML),0,,
VODKA Taco Shop,VODKA Smirnoff Orange,Bottle (1 Litre),0,,,,
VODKA Taco Shop,VODKA Titos,Bottle (1 Litre),1.1,Bottle (1.75 Litre),0,Bottle (750 ML),0
WHISKEY Taco Shop,WHISKEY Abasolo,Bottle (750 ML),1,,,,
WHISKEY Taco Shop,WHISKEY Angels Envy Bourbon,Bottle (750 ML),0.9,Bottle (1 Litre),0,,
WHISKEY Taco Shop,WHISKEY Angels Envy Rye,Bottle (750 ML),1.5,,,,
WHISKEY Taco Shop,WHISKEY Balvenie Scotch 12 Yr Doublewood,Bottle (750 ML),1.8,,,,
WHISKEY Taco Shop,WHISKEY Buchanans 12 Yr,Bottle (750 ML),0.4,Bottle (1 Litre),1,,
WHISKEY Taco Shop,WHISKEY Bulleit Bourbon,Bottle (1 Litre),0,Bottle (750 ML),1.6,,
WHISKEY Taco Shop,WHISKEY Chivas Regal 12 Yr,Bottle (1 Litre),0.8,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Crown Royal Apple,Bottle (1 Litre),2.5,,,,
WHISKEY Taco Shop,WHISKEY Crown Royal Canadian,Bottle (1 Litre),1.1,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Dewars White,Bottle (1 Litre),0.8,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Dusse Cognac VSOP,Bottle (750 ML),1.7,,,,
WHISKEY Taco Shop,WHISKEY Glenfiddich 12 Yr,Bottle (1 Litre),0,Bottle (750 ML),1.5,,
WHISKEY Taco Shop,WHISKEY Glenlivet 12 Yr,Bottle (1 Litre),0.9,Bottle - 750 ML,0,,
WHISKEY Taco Shop,WHISKEY J Walker Black,Bottle (1 Litre),1.2,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY J Walker Red,Bottle (1 Litre),1.8,,,,
WHISKEY Taco Shop,WHISKEY Jack Daniels Fire,Bottle (1 Litre),0,Bottle (750 ML),3.9,,
WHISKEY Taco Shop,WHISKEY Jack Daniels Old 7 Blk,Bottle (1 Litre),1.2,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Jameson,Bottle (1 Litre),1.3,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Macallan 12 Yr,Bottle (750 ML),2.7,Bottle (1 Litre),0,,
WHISKEY Taco Shop,WHISKEY Makers Mark,Bottle (1 Litre),1.05,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Old Forester Brbn 86,Bottle (1 Litre),2,Bottle (750 ML),0,Bottle (1.75 Litre),0
WHISKEY Taco Shop,WHISKEY Old Parr Scotch 12 Yr,Bottle (750 ML),2.9,,,,
WHISKEY Taco Shop,WHISKEY Slane Irish,Bottle (1 Litre),2,Bottle - 750 ML,0,,
WHISKEY Taco Shop,WHISKEY Woodford Reserve,Bottle (1 Litre),1.1,Bottle (750 ML),0,,
WHISKEY Taco Shop,WHISKEY Jack Daniels Single Barrel Rye,Bottle (1 Litre),0.2,,,,
RED WINE Taco Shop,RED WINE Cab Sauv Bonanza,Bottle (750 ML),2,,,,
RED WINE Taco Shop,RED WINE Cab Sauv Los Vascos,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Malbec Antigal Uno,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE Malbec Aruma,Bottle (750 ML),0,,,,
RED WINE Taco Shop,RED WINE P Noir Robert Mondavi,Bottle (750 ML),10,,,,
RED WINE Taco Shop,RED WINE P Noir Sea Sun,Bottle (750 ML),1.4,,,,
RED WINE Taco Shop,RED WINE Cab Sauv The Quilt Rsv,Bottle (750 ML),6,,,,
RED WINE Taco Shop,RED WINE Chianti Cafaggio,Bottle (750 ML),4,,,,
RED WINE Taco Shop,RED WINE Malbec Rsv Terraza,Bottle (750 ML),1.8,,,,
RED WINE Taco Shop,RED WINE Tempranillo Numanthia Termes,Bottle (750 ML),1.9,,,,
RED WINE Taco Shop,RED WINE Merlot Ca Donini,Bottle (750 ML),1.5,,,,
WHITE WINE Taco Shop,WHITE WINE Chardonnay Elouan,Bottle (750 ML),2.9,,,,
WHITE WINE Taco Shop,WHITE WINE Chardonnay Los Vascos,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE P Grigio Lagaria,Bottle (750 ML),0,,,,
WHITE WINE Taco Shop,WHITE WINE P Grigio Venezie Canaletto,Bottle (750 ML),3.4,,,,
WHITE WINE Taco Shop,WHITE WINE Sauv Blanc Vavasour,Bottle (750 ML),3.6,,,,
WHITE WINE Taco Shop,WHITE WINE Riesling Chateau St Michelle,Bottle (750 ML),2,,,,
WHITE WINE Taco Shop,WHITE WINE Sauv Blanc Justin,Bottle (750 ML),5,,,,
WHITE WINE Taco Shop,WHITE WINE Moscato D Asti  Saracco,Bottle (750 ML),4,,,,
WHITE WINE Taco Shop,ROSE Wine Whispering Angel,Bottle (750 ML),2.4,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Gioiosa Prosecco,Bottle (750 ML),0,,,,
SPARK WINE Taco Shop,CHAMP/SPARK House Sparkling,Bottle (750 ML),12.7,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Veuve Du Vernay Brut,Bottle (750 ML),0,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Chandon Sparkling,Bottle (750 ML),6,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Veuve Clicquot Rose,Bottle (750 ML),2,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Moet Ice Imperial,Bottle (750 ML),3,,,,
SPARK WINE Taco Shop,CHAMP/SPARK Moet Imperial Brut,Bottle (750 ML),2,Bottle (187 mL),0,,
